       1.0  -0.00000     1    0.0052      0.00176
       1.0  -0.00000   KIR    0.0104      0.00176
       1.0  -0.00000A UNBA    0.0156      0.00176
       1.0  -0.00000RAMROD    0.0208      0.00176
       1.0  -0.00000     1    0.0260      0.00176
       1.0  -0.000001         0.0312      0.00176
       1.0  -0.00000     1    0.0365      0.00176
       1.0  -0.00000     1    0.0417      0.00176
       1.0  -0.00000     1    0.0469      0.00176
       1.0  -0.00000     1    0.0521      0.00176
       1.0  -0.00000     1    0.0573      0.00176
       1.0  -0.00000     1    0.0625      0.00176
       1.0  -0.00000     1    0.0677      0.00176
       1.0  -0.00000     1    0.0729      0.00176
       1.0  -0.00000     1    0.0781      0.00176
       1.0  -0.00000     1    0.0833      0.00176
       1.0  -0.00000     1    0.0885      0.00176
